packageId,bucket,cost,bestObserved,firstObserved,endDate,eventSlug,asset,source,gateOk,availableSize,minShares,payoutMultiple
mlb-mil-atl-2026-06-20::YES-2610290+NO-2610291,1.05-1.10,1.06,2026-06-20T20:06:01.323000Z,2026-06-20T10:35:01.941000Z,2026-06-20T20:10:00Z,mlb-mil-atl-2026-06-20,MLB,middle_or_snapshot_audit,False,20.0,10.0,1
mlb-sd-tex-2026-06-20::YES-2610277+NO-2610278,1.10-1.16,1.1,2026-06-20T20:06:04.199000Z,2026-06-20T06:35:57.023000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,7.5,10.0,1
mlb-tor-chc-2026-06-20::YES-2609707+NO-2609708,1.05-1.10,1.05,2026-06-20T20:07:54.799000Z,2026-06-20T14:35:15.702000Z,2026-06-20T18:20:00Z,mlb-tor-chc-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
mlb-sf-mia-2026-06-20::YES-2609037+NO-2610292,1.16-1.25,1.1800000000000002,2026-06-20T20:09:39.429000Z,2026-06-20T05:49:23.791000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,7190.0,10.0,2
mlb-sd-tex-2026-06-20::YES-2610276+NO-2610278,1.25-2.00,1.3,2026-06-20T20:10:01.700000Z,2026-06-20T06:35:57.023000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
mlb-wsh-tb-2026-06-20::YES-2614453+NO-2614457,1.16-1.25,1.18,2026-06-20T20:10:14.422000Z,2026-06-20T10:32:26.070000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,6.72,10.0,1
mlb-mil-atl-2026-06-20::YES-2610288+NO-2610289,1.16-1.25,1.19,2026-06-20T20:10:17.493000Z,2026-06-20T02:33:04.808000Z,2026-06-20T20:10:00Z,mlb-mil-atl-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,2
mlb-sd-tex-2026-06-20::YES-2609014+NO-2610278,1.16-1.25,1.17,2026-06-20T20:10:26.407000Z,2026-06-20T06:35:57.023000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,57.54,10.0,1
mlb-mil-atl-2026-06-20::YES-2610288+NO-2609026,1.10-1.16,1.11,2026-06-20T20:10:27.174000Z,2026-06-20T02:33:04.808000Z,2026-06-20T20:10:00Z,mlb-mil-atl-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,2
mlb-sd-tex-2026-06-20::YES-2610270+NO-2610271,1.05-1.10,1.09,2026-06-20T20:10:30.771000Z,2026-06-20T10:24:22.750000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,2
mlb-sf-mia-2026-06-20::YES-2609037+NO-2610293,1.05-1.10,1.0899999999999999,2026-06-20T20:14:53.186000Z,2026-06-20T02:13:43.984000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,0.52,10.0,1
what-price-will-bitcoin-hit-in-june-2026::YES-2410563+NO-2410560,1.000-1.005,1.001,2026-06-20T20:14:55.039000Z,2026-06-16T22:40:20.433000Z,2026-07-01T04:00:00Z,what-price-will-bitcoin-hit-in-june-2026,BTC,middle_or_snapshot_audit,False,10.0,500.01,
mlb-sf-mia-2026-06-20::YES-2609038+NO-2610300,1.16-1.25,1.17,2026-06-20T20:16:45.189000Z,2026-06-20T04:10:31.769000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,12.0,10.0,2
mlb-sf-mia-2026-06-20::YES-2609711+NO-2610300,1.05-1.10,1.09,2026-06-20T20:16:45.189000Z,2026-06-20T02:12:25.095000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,2
mlb-sf-mia-2026-06-20::YES-2610298+NO-2610300,1.25-2.00,1.37,2026-06-20T20:17:15.102000Z,2026-06-20T11:29:37.132000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,7.33,10.0,2
mlb-sf-mia-2026-06-20::YES-2610298+NO-2609711,1.25-2.00,1.26,2026-06-20T20:17:27.381000Z,2026-06-20T11:29:37.131000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,40.29,10.0,1
mlb-sf-mia-2026-06-20::YES-2610298+NO-2609038,1.16-1.25,1.18,2026-06-20T20:17:27.398000Z,2026-06-20T11:29:37.131000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
mlb-sf-mia-2026-06-20::YES-2610299+NO-2609711,1.16-1.25,1.2000000000000002,2026-06-20T20:18:24.024000Z,2026-06-20T02:11:19.732000Z,2026-06-20T20:10:00Z,mlb-sf-mia-2026-06-20,MLB,middle_or_snapshot_audit,False,10.0,10.0,1
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2326484,1.25-2.00,1.71,2026-06-20T20:20:59.642000Z,2026-06-18T04:15:16.169000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,50.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2481397+NO-2481398,1.16-1.25,1.23,2026-06-20T20:21:02.372000Z,2026-06-18T04:14:38.954000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,69.91,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2481397+NO-2481399,1.25-2.00,1.44,2026-06-20T20:21:02.372000Z,2026-06-18T04:18:25.998000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,69.91,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326481+NO-2326483,1.25-2.00,1.37,2026-06-20T20:21:03.703000Z,2026-06-18T04:14:20.544000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,5.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2326483,1.25-2.00,1.49,2026-06-20T20:21:03.994000Z,2026-06-18T04:14:05.621000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,5.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2326485,1.25-2.00,1.82,2026-06-20T20:22:44.284000Z,2026-06-18T04:15:00.691000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,8.31,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2585447,1.25-2.00,1.889,2026-06-20T20:22:44.284000Z,2026-06-18T05:03:15.920000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,20.28,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2585448,1.25-2.00,1.8940000000000001,2026-06-20T20:22:44.284000Z,2026-06-18T12:23:28.293000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,367.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2585449,1.25-2.00,1.895,2026-06-20T20:22:44.284000Z,2026-06-18T19:12:47.636000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,1938.61,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2585447+NO-2585449,1.005-1.02,1.007,2026-06-20T20:23:15.454000Z,2026-06-18T19:12:47.636000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,5.0,142.86,1
what-will-gold-gc-hit-by-end-of-december::YES-1294366+NO-1294365,1.005-1.02,1.005,2026-06-20T20:23:36.045000Z,2026-06-16T22:37:06.131000Z,2026-12-31T00:00:00Z,what-will-gold-gc-hit-by-end-of-december,GOLD,middle_or_snapshot_audit,False,8.9,30.0,
mlb-wsh-tb-2026-06-20::YES-2614459+NO-2614460,1.10-1.16,1.11,2026-06-20T20:26:00.162000Z,2026-06-20T10:19:07.109000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,30.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326482+NO-2585449,1.25-2.00,1.459,2026-06-20T20:26:33.639000Z,2026-06-18T19:12:47.636000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,14.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326481+NO-2585449,1.25-2.00,1.729,2026-06-20T20:26:34.057000Z,2026-06-18T19:12:47.636000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,14.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326483+NO-2585449,1.16-1.25,1.2389999999999999,2026-06-20T20:27:41.180000Z,2026-06-18T19:12:47.636000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,14.0,10.0,1
fifwc-ger-civ-2026-06-20-more-markets::YES-2482004+NO-2482006,1.25-2.00,1.5259999999999998,2026-06-20T20:28:43.921000Z,2026-06-18T09:21:13.378000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,10.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2482004+NO-2482005,1.25-2.00,1.3599999999999999,2026-06-20T20:29:03.391000Z,2026-06-18T04:14:07.167000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,25.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326481+NO-2326485,1.25-2.00,1.6600000000000001,2026-06-20T20:29:03.612000Z,2026-06-18T04:15:00.691000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,249.02,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326481+NO-2326484,1.25-2.00,1.56,2026-06-20T20:29:03.637000Z,2026-06-18T04:15:16.169000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,224.72,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326482+NO-2326483,1.10-1.16,1.13,2026-06-20T20:29:03.731000Z,2026-06-18T04:14:05.621000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,1110.0,10.0,2
fifwc-ger-civ-2026-06-20-more-markets::YES-2326478+NO-2585441,1.005-1.02,1.01,2026-06-20T20:29:20.740000Z,2026-06-18T04:15:06.127000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,5.78,40.0,1
mlb-wsh-tb-2026-06-20::YES-2614092+NO-2614461,1.05-1.10,1.08,2026-06-20T20:29:21.451000Z,2026-06-20T10:19:09.347000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
mlb-wsh-tb-2026-06-20::YES-2614459+NO-2614461,1.16-1.25,1.24,2026-06-20T20:29:21.451000Z,2026-06-20T10:19:07.109000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,1.0,10.0,2
mlb-wsh-tb-2026-06-20::YES-2614460+NO-2614461,1.16-1.25,1.1600000000000001,2026-06-20T20:29:21.451000Z,2026-06-20T10:20:16.844000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
mlb-wsh-tb-2026-06-20::YES-2614459+NO-2614092,1.05-1.10,1.0699999999999998,2026-06-20T20:29:21.572000Z,2026-06-20T10:19:47.651000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,1.0,10.0,2
mlb-wsh-tb-2026-06-20::YES-2614460+NO-2614092,<1.000,0.99,2026-06-20T20:29:21.572000Z,2026-06-20T10:20:16.844000Z,2026-06-20T20:10:00Z,mlb-wsh-tb-2026-06-20,MLB,middle_or_snapshot_audit,False,5.0,10.0,1
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2326481,1.05-1.10,1.075,2026-06-20T20:29:34.190000Z,2026-06-18T04:14:20.544000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,137.58,25.0,1
fifwc-ger-civ-2026-06-20-more-markets::YES-2326480+NO-2326482,1.25-2.00,1.285,2026-06-20T20:29:36.265000Z,2026-06-18T04:14:21.220000Z,2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20-more-markets,SOCCER,middle_or_snapshot_audit,False,9.83,10.0,1
mlb-sd-tex-2026-06-20::YES-2610276+NO-2610277,1.16-1.25,1.19,2026-06-20T20:29:43.269000Z,2026-06-20T03:11:59.632000Z,2026-06-20T20:05:00Z,mlb-sd-tex-2026-06-20,MLB,middle_or_snapshot_audit,False,64.16,10.0,1
